city,sentiment,longitude,name,address,business_id,adjusted_avg_rating,adjusted_review_count,latitude,date,topic,text,pca1,pca2,topic_label
Saint Rose,neutral,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2011-05-07 18:41:57,2,"Po boys turtle cookies, cannoli. I ate them all - we got take out and I wasn't too impressed with the excess amount of mayo on the fried shrimp po' boy. The cannoli was what was the winner - I could have done without the sprinkles on the end- but the crisp pastry encrusting a creamy tasteful inside spilling out was worth every calorie.",-0.19521283685040317,0.2862042228643994,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2013-03-09 17:54:28,2,The pepper burger was awesome! I eat there on a regular basis because i live near by. Never had a disappointment yet.,-0.18010775447492663,0.05359506604541728,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2013-03-28 02:57:00,2,"This place is just a few minutes from my house, so my husband and I decided to give it a try on a night when we had waited too late to start cooking. Man, what a little gem. I had the special: a stuffed bell pepper with mac & cheese and peas...it was a good old-fashioned dinner plate. The pepper was cooked perfectly and the stuffing in it was delicious. Mac & cheese was baked and Thanksgiving-worthy. 

Husband had the jamba sandwich, which is pretty much jambalaya sans rice on a po-boy. For being a little hole-in-the-wall place, it was pretty dynamite. The owner/cook took a genuine interest in our experience and gave us a smile when we told him that we enjoyed everything. It's not a John Besh restaurant, but it's comfort food at it's best.",-0.22388985495298427,0.15203897291281715,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2013-09-23 13:57:41,3,Excellent atmosphere down on the river! Their oyster and shrimp poboys are to die for! The restaurant itself is clean and adorned with Saints football memorabilia. The owner is super nice and he runAwesome place! Must give it a try!,-0.1616046642965919,-0.10579823451591565,Dining experience and atmosphere
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2015-07-22 23:01:18,2,Too many awesome choices for dinner. I tried the jumba poboy. Amazing blend of meats and sauce. Everything I saw looked great. This is a family owned restaurant that is a great place to visit when you are near a St Rose.,-0.35140265904260226,0.059983394959126385,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2016-09-15 15:06:47,1,My family and I have been going here for years and the food is consistently remarkable! The owner is so kind and makes sure his customers are happy with their meals. Portions are huge and prices are low which is perfect for big families!! I recommend it highly!,-0.3711858718407093,-0.06436446805530702,Positive dining experiences.
Saint Rose,neutral,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2017-02-25 22:53:20,2,"This is a local favorite. I'm a huge fan of their fried seafood and plate lunch specials. Low key, laid back, low prices, and tasty.",-0.3320566330449657,-2.7791429768289633e-05,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2017-11-29 23:39:35,1,"One of the select few restaurants I can enjoy fried foods without an upset stomach. 
The establishment is clean with friendly employees.",-0.01748072105539733,0.0800929389803097,Positive dining experiences.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2018-03-06 19:09:14,2,"Great home cooked food at reasonable prices.  If you like a little spice, go for the Cajun Burger, super yummy !",-0.36593100119702016,0.039334028552366285,Delicious food and friendly service.
Saint Rose,negative,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2018-08-14 18:54:40,5,"Really want to give this place a higher rating because the fried okra, hush puppies and the little crab empanadas were delicious. But the burger needs a little more love.  Man, go ahead and charge us a little more for a handmade, juicy, seasoned burger patty!  The bun was moist and soft but was too much bread for the frozen patty.  Prices are fair and reasonable. Would come back.",-0.0910724724902652,0.13191274018023727,Restaurant quality and service issues
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2018-09-07 21:59:35,2,Awesome food! Chicken tenders are amazing! Ranch sauce is so yummy! Shrimp poboy..... YUM! And well the cheese fries and gravy.... great!!!!! Don't think u can go wrong with this little gem!,-0.41253751885808454,0.19537008551652557,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2019-01-08 01:32:51,2,I seriously love this place. Gravy cheese fries with a shrimp poboy you just can't get better.,-0.12875944616972748,0.1399060699706986,Delicious food and friendly service.
Saint Rose,positive,-90.316801,The Howling Pepper,109 St Rose Ave,-_WRjUCVv64YANhed_JGVQ,4.396153846153846,13,29.94585,2019-05-01 19:05:31,1,I went here because I had to go next door to wash a blanket at the laundromat. While waiting I went get a cheeseburger po-boy with fries. It was so good! The staff was super friendly! I'd definitely go back!,0.08470381954412946,-0.05039184403809836,Positive dining experiences.
Waterloo,neutral,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2014-02-16 18:13:49,1,"I don't even know where to start with this place.  I've been here many times, but only had the privelege to tried it once.  

Why?

Because this is a family owned and they opened and closed their door whenever they feel like it.  If you're lucky enough to find them opened, their donuts don't last long.",0.12061341960538748,-0.15133466134412937,Positive dining experiences.
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2014-06-04 20:25:44,4,"Just tried this bakery for the fist time recently. Very impressed! No preservatives are used which is a bonus health wise, but I bought three breads, fried chicken dinner and a coconut cream pie, it was all amazing! Plus they were very nice and patient with me trying to make up my mind :). Going back for sure.",-0.12876272351685317,0.07805554753027694,Food quality and value
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2014-08-19 03:12:09,4,"wish i lived closer. best doughnuts i have EVER had. anywhere. While traveling, I keep trying to at least match the goodness of Ahnes... haven't even come close. wish they could overnight me some! xo",-0.07163556375469171,-0.08761992600978319,Food quality and value
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2014-12-22 04:03:49,2,"I'm an out-of-towner who married a gal from the area. Long story short, this is the best fried chicken I've had in my life. It is fresh, juicy, and appropriately seasoned (I usually add hot sauce). Their baked goods are also special and delicious. 

I stop by Waterloo once a year, and this is one of the few places I make sure to always go back to.",-0.3220956343586724,0.012191653168022232,Delicious food and friendly service.
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2015-04-08 15:06:49,7,"The bakery crawl continues.... Today we are tasting the old fashioned peanut coffee cake at Ahne's Bakery. Ahne's Bakery has been around as long as I can remember. This was a place that I went to with my grandparents. It is the only bakery remaining in Randolph and Monroe Counties. If you ask anyone what is their favorite from Ahne's they will all say the coffee cake. I even called ahead and preordered just to make sure my coworkers would get a taste. What is sooo special about this coffeecake, well it is not dry like most coffeecakes. The cake is balanced with the peanut butter icing and mixture of chopped nuts. The shelves are stocked with donuts, angel food cakes, mini coffee cakes, dozen and dozen of cookies and pastries galore. They are closed on Monday, lucky they have started delivering to the local grocery and convenience stores, but I always like to stop at the bakery, the smells remind me of my grandparents..",0.0792541487711416,-0.17142650878784715,Friendly service and great drinks
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2016-05-05 18:31:50,4,Fresh loaves of bread pastries and cakes!  Very friendly ladies!  We'll be back!,-0.15591557785279545,-0.08903554192392726,Food quality and value
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2016-05-08 07:50:46,1,Love the place.  Reminds me of the old time bakeries from my childhood in the 50s.  Everything good there.  Everyone nice there.  Pastries are the best. Pies excellent.  They close early.,-0.22718230796546193,-0.20954175998471355,Positive dining experiences.
Waterloo,positive,-90.1522965,Ahne's Bakery,201 W Mill St,-oULvzCU5o1Hwr28Cl5rsg,4.179285714285714,14,38.336171,2017-12-29 13:16:39,4,"Ahne's is a local gem. Waterloo is lucky to have such a great bakery. Best pastries, especially the bear claws.",-0.08972277455537125,-0.27098913524601864,Food quality and value
